FechaHora,Unnamed: 0,Unnamed: 0.1,Anio,Mes,Dia,Hora,Total_paquetes,No_Clientes
2019-06-01:11,0.0,0.0,2019,6,1,11,53,40
2019-06-01:12,1.0,1.0,2019,6,1,12,76,49
2019-06-01:13,2.0,2.0,2019,6,1,13,67,57
2019-06-01:14,3.0,3.0,2019,6,1,14,83,59
2019-06-01:15,4.0,4.0,2019,6,1,15,70,44
2019-06-01:16,5.0,5.0,2019,6,1,16,62,43
2019-06-01:17,6.0,6.0,2019,6,1,17,69,56
2019-06-01:18,7.0,7.0,2019,6,1,18,87,58
2019-06-01:19,8.0,8.0,2019,6,1,19,55,42
2019-06-01:20,9.0,9.0,2019,6,1,20,56,40
2019-06-01:21,10.0,10.0,2019,6,1,21,2,1
2019-06-02:11,11.0,11.0,2019,6,2,11,33,21
2019-06-02:12,12.0,12.0,2019,6,2,12,48,35
2019-06-02:13,13.0,13.0,2019,6,2,13,56,37
2019-06-02:14,14.0,14.0,2019,6,2,14,56,38
2019-06-02:15,15.0,15.0,2019,6,2,15,66,51
2019-06-02:16,16.0,16.0,2019,6,2,16,57,45
2019-06-02:17,17.0,17.0,2019,6,2,17,63,40
2019-06-02:18,18.0,18.0,2019,6,2,18,65,45
2019-06-02:19,19.0,19.0,2019,6,2,19,45,39
2019-06-02:20,20.0,20.0,2019,6,2,20,23,20
2019-06-03:11,21.0,21.0,2019,6,3,11,35,30
2019-06-03:12,22.0,22.0,2019,6,3,12,37,29
2019-06-03:13,23.0,23.0,2019,6,3,13,59,38
2019-06-03:14,24.0,24.0,2019,6,3,14,88,66
2019-06-03:15,25.0,25.0,2019,6,3,15,97,62
2019-06-03:16,26.0,26.0,2019,6,3,16,88,71
2019-06-03:17,27.0,27.0,2019,6,3,17,58,40
2019-06-03:18,28.0,28.0,2019,6,3,18,87,63
2019-06-03:19,29.0,29.0,2019,6,3,19,110,94
2019-06-03:20,30.0,30.0,2019,6,3,20,132,89
2019-06-03:21,31.0,31.0,2019,6,3,21,5,3
2019-06-04:11,32.0,32.0,2019,6,4,11,59,37
2019-06-04:12,33.0,33.0,2019,6,4,12,39,30
2019-06-04:13,34.0,34.0,2019,6,4,13,73,51
2019-06-04:14,35.0,35.0,2019,6,4,14,71,50
